image_id,filename,overall_score,hard_failure_reasons,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact
aptos_4dd7b322f342,aptos_4dd7b322f342.png,0.5782,Severe Sensor Saturation (Saturated Pixel Pct=1.73% > 1.5%); Severe Non-Uniform Illumination (Map CoV=0.681 > 0.52),0.6033,0.5751,0.5648,0.7055,0.9839,0.3222,0.0607
aptos_4e8585a96739,aptos_4e8585a96739.png,0.7451,"Severe Defocus Blur (NormLap=7.3 < 8.0, RawLap=11.46, Tenengrad=337.6)",0.3074,0.6076,1.0,0.9084,0.9839,0.8869,1.0
aptos_5056fa7d505f,aptos_5056fa7d505f.png,0.736,"Severe Defocus Blur (NormLap=5.6 < 8.0, RawLap=8.72, Tenengrad=294.4)",0.2854,0.6753,1.0,0.9237,0.984,0.7343,1.0
aptos_5078caaf1f57,aptos_5078caaf1f57.png,0.6907,"Severe Defocus Blur (NormLap=5.4 < 8.0, RawLap=8.43, Tenengrad=149.8)",0.1766,0.5289,0.9409,0.9272,0.984,0.8573,1.0
aptos_50d8249f7bc9,aptos_50d8249f7bc9.png,0.733,Severe Sensor Saturation (Saturated Pixel Pct=1.53% > 1.5%),0.8889,0.3603,1.0,0.7232,0.949,0.92,0.0
aptos_50d8a8fb7737,aptos_50d8a8fb7737.png,0.7667,Extreme Center/Edge Vignetting (Ratio=1.95 > 1.85),0.7065,0.4912,1.0,0.9253,0.9988,0.2408,1.0
aptos_51aa3361294c,aptos_51aa3361294c.png,0.7217,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.34, Tenengrad=269.5)",0.2712,0.5693,1.0,0.9174,0.9839,0.7916,1.0
aptos_51d0034d177d,aptos_51d0034d177d.png,0.6636,Severe Underexposure (Retinal Mean Intensity=33.1 < 40.0),0.5683,0.0,0.6095,0.9313,0.9995,0.8706,1.0
aptos_521b5377a727,aptos_521b5377a727.png,0.629,"Severe Defocus Blur (NormLap=4.2 < 8.0, RawLap=6.62, Tenengrad=178.9)",0.2052,0.39,1.0,0.9322,0.9839,0.2838,1.0
aptos_525d0dd8dc45,aptos_525d0dd8dc45.png,0.7146,"Severe Defocus Blur (NormLap=5.5 < 8.0, RawLap=8.61, Tenengrad=263.8)",0.2677,0.6459,1.0,0.9213,0.9839,0.6106,1.0
aptos_5264a54e1830,aptos_5264a54e1830.png,0.7269,"Severe Defocus Blur (NormLap=5.8 < 8.0, RawLap=9.07, Tenengrad=204.0)",0.2263,0.6806,1.0,0.9223,0.984,0.7834,1.0
aptos_537e5c578f40,aptos_537e5c578f40.png,0.7092,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.91, Tenengrad=248.8)",0.2583,0.5773,1.0,0.9126,0.9839,0.6917,1.0
aptos_5548a7961a3e,aptos_5548a7961a3e.png,0.6615,Severe Underexposure (Retinal Mean Intensity=31.4 < 40.0),0.5649,0.1288,0.386,0.9316,0.9996,1.0,1.0
aptos_58eb3809f456,aptos_58eb3809f456.png,0.7851,Severe Underexposure (Retinal Mean Intensity=39.4 < 40.0),0.9054,0.2874,0.9394,0.4477,0.9444,0.8825,1.0
aptos_59fee5bc3479,aptos_59fee5bc3479.png,0.7376,Severe Underexposure (Retinal Mean Intensity=35.2 < 40.0),0.5721,0.2048,0.9508,0.9304,0.9974,0.7856,1.0
aptos_5a27b9b2a9c1,aptos_5a27b9b2a9c1.png,0.7002,"Severe Defocus Blur (NormLap=7.1 < 8.0, RawLap=11.10, Tenengrad=353.9)",0.315,0.7104,1.0,0.9112,0.984,0.2621,1.0
aptos_5a93c0f783c4,aptos_5a93c0f783c4.png,0.6884,"Severe Defocus Blur (NormLap=5.8 < 8.0, RawLap=9.11, Tenengrad=328.6)",0.3031,0.38,1.0,0.9147,0.9839,0.6658,1.0
aptos_5b301a6d1ac7,aptos_5b301a6d1ac7.png,0.6324,Severe Underexposure (Retinal Mean Intensity=31.1 < 40.0),0.5589,0.0,0.4502,0.9326,0.9997,0.8194,1.0
aptos_5b804948e35f,aptos_5b804948e35f.png,0.6458,"Severe Defocus Blur (NormLap=6.2 < 8.0, RawLap=9.70, Tenengrad=199.5)",0.2227,0.4124,0.618,0.9158,0.9839,0.9643,1.0
aptos_5cab3ef4b31c,aptos_5cab3ef4b31c.png,0.7519,"Severe Peripheral Blackout & Gradient (Ratio=1.75 > 1.75, CoV=0.478 > 0.45)",0.7589,0.3684,1.0,0.9018,1.0,0.1672,1.0
aptos_5d3c8c1f57da,aptos_5d3c8c1f57da.png,0.6466,"Severe Defocus Blur (NormLap=4.4 < 8.0, RawLap=6.89, Tenengrad=199.7); Severe Underexposure (Retinal Mean Intensity=37.4 < 40.0)",0.2229,0.2488,0.9199,0.9272,0.9839,0.7525,1.0
aptos_5e97cb2b0888,aptos_5e97cb2b0888.png,0.7261,"Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=8.31, Tenengrad=236.5)",0.2501,0.6049,1.0,0.9228,0.9839,0.8294,1.0
aptos_5ead17e894ae,aptos_5ead17e894ae.png,0.7214,"Severe Defocus Blur (NormLap=5.4 < 8.0, RawLap=8.49, Tenengrad=230.9)",0.2463,0.535,0.9696,0.9238,0.9839,0.9412,1.0
aptos_5fcff7280019,aptos_5fcff7280019.png,0.7366,"Severe Defocus Blur (NormLap=7.9 < 8.0, RawLap=12.38, Tenengrad=439.0)",0.3497,0.6479,1.0,0.9024,0.984,0.6417,1.0
aptos_606daaf0bfc7,aptos_606daaf0bfc7.png,0.7578,"Severe Defocus Blur (NormLap=6.5 < 8.0, RawLap=10.09, Tenengrad=483.2)",0.3651,0.6448,1.0,0.9114,0.9839,0.8107,1.0
aptos_609be3ca5ddf,aptos_609be3ca5ddf.png,0.7027,"Severe Defocus Blur (NormLap=5.5 < 8.0, RawLap=8.62, Tenengrad=209.7)",0.2308,0.5619,1.0,0.9247,0.984,0.7069,1.0
aptos_66460ecab347,aptos_66460ecab347.png,0.7206,Severe Underexposure (Retinal Mean Intensity=37.1 < 40.0),0.9071,0.2427,0.6246,0.4301,0.9424,0.7941,1.0
aptos_684dd88a0d49,aptos_684dd88a0d49.png,0.6956,"Severe Defocus Blur (NormLap=5.8 < 8.0, RawLap=9.07, Tenengrad=176.0)",0.2025,0.5042,1.0,0.9225,0.9839,0.7945,1.0
aptos_6a244e855d0e,aptos_6a244e855d0e.png,0.6975,"Severe Defocus Blur (NormLap=25.4 < 8.0, RawLap=2.57, Tenengrad=114.6); Severe Flash Bleaching (Retinal Mean Intensity=154.5 > 140.0)",0.402,0.0087,1.0,0.9564,1.0,1.0,1.0
aptos_6b07971c3bf6,aptos_6b07971c3bf6.png,0.7076,"Severe Defocus Blur (NormLap=5.6 < 8.0, RawLap=8.68, Tenengrad=196.8)",0.2206,0.5497,1.0,0.9237,0.9839,0.8005,1.0
aptos_6bf26b777e3a,aptos_6bf26b777e3a.png,0.7,Severe Underexposure (Retinal Mean Intensity=38.4 < 40.0),0.6122,0.2436,0.4532,0.9275,0.998,1.0,1.0
aptos_6cb96a6fb029,aptos_6cb96a6fb029.png,0.7268,Severe Underexposure (Retinal Mean Intensity=37.5 < 40.0),0.915,0.1944,0.9285,0.3819,0.9413,0.5025,1.0
aptos_6ccfdb031184,aptos_6ccfdb031184.png,0.714,Severe Non-Uniform Illumination (Map CoV=0.697 > 0.52),0.4251,0.9685,0.6422,0.8436,0.9839,0.3419,1.0
aptos_6cee2e148520,aptos_6cee2e148520.png,0.7931,"Severe Corneal Glare Artifacts (7 blobs, 0.51% saturation)",0.6961,0.8621,1.0,0.9167,0.9936,0.912,0.0781
aptos_6e3526053de0,aptos_6e3526053de0.png,0.7033,"Severe Defocus Blur (NormLap=6.2 < 8.0, RawLap=9.76, Tenengrad=312.7)",0.2951,0.4824,1.0,0.9168,0.9839,0.6792,1.0
aptos_6f3b62e5b7f5,aptos_6f3b62e5b7f5.png,0.6909,"Severe Defocus Blur (NormLap=6.5 < 8.0, RawLap=10.23, Tenengrad=205.8)",0.2278,0.4921,0.8981,0.9143,0.9839,0.8641,1.0
aptos_6f4719c6bb4b,aptos_6f4719c6bb4b.png,0.7208,Severe Underexposure (Retinal Mean Intensity=33.5 < 40.0),0.5724,0.0,1.0,0.9306,0.9991,0.848,1.0
aptos_6fbaaf8eb67a,aptos_6fbaaf8eb67a.png,0.7257,"Severe Defocus Blur (NormLap=5.2 < 8.0, RawLap=8.17, Tenengrad=138.1)",0.1636,0.6887,1.0,0.9278,0.984,0.9113,1.0
aptos_6fe67482bfae,aptos_6fe67482bfae.png,0.7968,"Severe Defocus Blur (NormLap=39.2 < 8.0, RawLap=3.97, Tenengrad=69.3)",0.4467,0.6026,1.0,0.9477,1.0,1.0,1.0
aptos_70d0392397de,aptos_70d0392397de.png,0.6273,"Severe Defocus Blur (NormLap=22.0 < 8.0, RawLap=3.45, Tenengrad=35.7)",0.2279,0.3171,0.556,0.9527,0.9978,0.9442,1.0
aptos_7131bf4c9e6f,aptos_7131bf4c9e6f.png,0.7156,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.39, Tenengrad=194.5)",0.2187,0.5979,0.9902,0.92,0.9839,0.8313,1.0
aptos_7179f85bfd6f,aptos_7179f85bfd6f.png,0.7329,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.39, Tenengrad=352.3)",0.3143,0.6455,1.0,0.9182,0.984,0.6809,1.0
aptos_7214fc7cbe03,aptos_7214fc7cbe03.png,0.7884,Severe Underexposure (Retinal Mean Intensity=38.8 < 40.0),0.9297,0.276,0.9849,0.4702,0.9447,0.7815,1.0
aptos_7269a1d84a57,aptos_7269a1d84a57.png,0.7212,Severe Underexposure (Retinal Mean Intensity=35.9 < 40.0),0.9309,0.0,1.0,0.4672,0.9454,0.4994,1.0
aptos_726dff37edc0,aptos_726dff37edc0.png,0.7189,"Severe Defocus Blur (NormLap=5.6 < 8.0, RawLap=8.69, Tenengrad=276.5)",0.2753,0.5082,1.0,0.9176,0.9839,0.8454,1.0
aptos_72a867980067,aptos_72a867980067.png,0.6582,"Severe Defocus Blur (NormLap=7.4 < 8.0, RawLap=11.49, Tenengrad=202.0)",0.2248,0.4551,0.7396,0.9101,0.9839,0.842,1.0
aptos_7526cf435753,aptos_7526cf435753.png,0.7097,"Severe Defocus Blur (NormLap=7.2 < 8.0, RawLap=11.19, Tenengrad=273.8)",0.2737,0.4568,1.0,0.9107,0.984,0.8409,1.0
aptos_757572337fd0,aptos_757572337fd0.png,0.7786,"Severe Defocus Blur (NormLap=35.9 < 8.0, RawLap=3.64, Tenengrad=57.0)",0.3895,0.9906,0.5836,0.9505,1.0,1.0,1.0
aptos_76cab26493f1,aptos_76cab26493f1.png,0.6547,"Severe Defocus Blur (NormLap=5.2 < 8.0, RawLap=8.10, Tenengrad=129.4)",0.1531,0.4169,1.0,0.9288,0.9839,0.6341,1.0
aptos_76fe19ff64fb,aptos_76fe19ff64fb.png,0.7696,"Severe Defocus Blur (NormLap=37.1 < 8.0, RawLap=3.77, Tenengrad=64.4)",0.4194,0.4656,1.0,0.9495,1.0,1.0,1.0
aptos_77baa08a1345,aptos_77baa08a1345.png,0.5924,Severe Underexposure (Retinal Mean Intensity=27.4 < 40.0),0.5489,0.0,0.1121,0.9342,0.9992,0.9511,1.0
aptos_785777558f05,aptos_785777558f05.png,0.7088,"Severe Corneal Glare Artifacts (8 blobs, 0.94% saturation)",0.6994,0.6389,0.8615,0.918,0.9968,0.676,0.0
aptos_7b29e3783919,aptos_7b29e3783919.png,0.8657,Extreme Center/Edge Vignetting (Ratio=1.93 > 1.85),0.8781,0.9551,0.9189,0.7467,1.0,0.4042,1.0
aptos_7ba6b23c4b46,aptos_7ba6b23c4b46.png,0.7292,"Severe Defocus Blur (NormLap=6.3 < 8.0, RawLap=9.82, Tenengrad=397.5)",0.3337,0.633,1.0,0.9161,0.9839,0.6167,1.0
aptos_7eee3d1f1268,aptos_7eee3d1f1268.png,0.645,Severe Underexposure (Retinal Mean Intensity=31.2 < 40.0),0.5573,0.0,0.5784,0.9328,0.9639,0.8105,1.0
aptos_7ef5ff774a48,aptos_7ef5ff774a48.png,0.6357,"Severe Defocus Blur (NormLap=4.5 < 8.0, RawLap=7.10, Tenengrad=123.5)",0.1456,0.3851,0.8636,0.9313,0.984,0.7133,1.0
aptos_7f43becd3e83,aptos_7f43becd3e83.png,0.7031,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.98, Tenengrad=449.7)",0.3536,0.5856,1.0,0.9065,0.984,0.3861,1.0
aptos_807135cbc438,aptos_807135cbc438.png,0.6889,Severe Underexposure (Retinal Mean Intensity=36.3 < 40.0),0.5759,0.1278,0.6069,0.9301,0.9984,0.9199,1.0
aptos_80b5a9519aec,aptos_80b5a9519aec.png,0.7036,Severe Underexposure (Retinal Mean Intensity=36.5 < 40.0),0.5805,0.1741,0.6358,0.9294,0.9989,0.9418,1.0
